Account Name,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Total

Operating Income & Expense,,,,,,,,,,,,,
    Income,,,,,,,,,,,,,
        Appfolio Late Fees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,85.00
        Rent,"2,793.00","3,445.00","4,295.00","2,595.00","3,445.00","3,445.00","3,445.00","3,445.00","3,395.00","3,260.00","3,680.00",0.00,"37,243.00"
        Resident Benefits Package,0.00,0.00,35.95,-35.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
    Total Operating Income,"2,793.00","3,445.00","4,330.95","2,559.05","3,445.00","3,445.00","3,445.00","3,445.00","3,395.00","3,260.00","3,765.00",0.00,"37,328.00"
    Expense,,,,,,,,,,,,,
        Keys,186.31,0.00,121.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307.87
        CARPET CLEANING,0.00,0.00,0.00,"1,446.70",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,446.70"
        Air Conditioning,0.00,0.00,220.00,140.00,0.00,0.00,80.00,80.00,0.00,0.00,0.00,0.00,520.00
        Appliances,0.00,0.00,0.00,64.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.95
        Inspection Fee,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,180.00
        Advertising,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00
        Electric Bill,0.00,143.31,80.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223.41
        General Maintenance,815.00,80.00,625.00,300.00,0.00,0.00,0.00,280.00,0.00,0.00,0.00,0.00,"2,100.00"
        General Repairs,270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00
        Lawn Service,60.00,0.00,0.00,120.00,120.00,180.00,120.00,120.00,120.00,120.00,0.00,0.00,960.00
        Management Fee,402.44,275.60,275.60,275.60,275.60,275.60,275.60,275.60,271.60,260.80,207.60,0.00,"3,071.64"
        Pest Control,0.00,75.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.78
        Plumbing,215.00,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435.00
        Service Fee,0.00,0.00,0.00,0.00,135.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.31
        Water Bill,99.18,132.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.02
    Total Operating Expense,"2,292.93",707.53,"1,542.26","2,347.25",530.91,455.60,475.60,755.60,476.60,380.80,207.60,0.00,"10,172.68"
,,,,,,,,,,,,,
    NOI - Net Operating Income,500.07,"2,737.47","2,788.69",211.80,"2,914.09","2,989.40","2,969.40","2,689.40","2,918.40","2,879.20","3,557.40",0.00,"27,155.32"
,,,,,,,,,,,,,
    Total Income,"2,793.00","3,445.00","4,330.95","2,559.05","3,445.00","3,445.00","3,445.00","3,445.00","3,395.00","3,260.00","3,765.00",0.00,"37,328.00"
    Total Expense,"2,292.93",707.53,"1,542.26","2,347.25",530.91,455.60,475.60,755.60,476.60,380.80,207.60,0.00,"10,172.68"
,,,,,,,,,,,,,
    Net Income,500.07,"2,737.47","2,788.69",211.80,"2,914.09","2,989.40","2,969.40","2,689.40","2,918.40","2,879.20","3,557.40",0.00,"27,155.32"
